"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated"
2020-12-25,"Adults_18plus",11055,0,12083325,0.001,0
2020-12-25,"Undisclosed_or_missing",3,0,0,,
2020-12-26,"12-17yrs",13,0,951519,0,0
2020-12-26,"18-29yrs",1357,0,2455535,0.001,0
2020-12-26,"30-39yrs",1888,0,2056059,0.001,0
2020-12-26,"40-49yrs",2468,0,1876583,0.001,0
2020-12-26,"50-59yrs",2980,0,2060934,0.001,0
2020-12-26,"60-69yrs",1738,0,1795046,0.001,0
2020-12-26,"70-79yrs",309,0,1159902,0,0
2020-12-26,"80+",315,0,679266,0,0
2020-12-26,"Adults_18plus",11055,0,12083325,0.001,0
2020-12-26,"Undisclosed_or_missing",3,0,0,,
2020-12-27,"12-17yrs",13,0,951519,0,0
2020-12-27,"18-29yrs",1357,0,2455535,0.001,0
2020-12-27,"30-39yrs",1888,0,2056059,0.001,0
2020-12-27,"40-49yrs",2468,0,1876583,0.001,0
2020-12-27,"50-59yrs",2980,0,2060934,0.001,0
2020-12-27,"60-69yrs",1738,0,1795046,0.001,0
2020-12-27,"70-79yrs",309,0,1159902,0,0
2020-12-27,"80+",315,0,679266,0,0
2020-12-27,"Adults_18plus",11055,0,12083325,0.001,0
2020-12-27,"Undisclosed_or_missing",3,0,0,,
2020-12-28,"12-17yrs",13,0,951519,0,0
2020-12-28,"18-29yrs",1366,0,2455535,0.001,0
2020-12-28,"30-39yrs",1902,0,2056059,0.001,0
2020-12-28,"40-49yrs",2498,0,1876583,0.001,0
2020-12-28,"50-59yrs",3022,0,2060934,0.001,0
2020-12-28,"60-69yrs",1768,0,1795046,0.001,0
2020-12-28,"70-79yrs",321,0,1159902,0,0
2020-12-28,"80+",319,0,679266,0,0
2020-12-28,"Adults_18plus",11196,0,12083325,0.001,0
2020-12-28,"Undisclosed_or_missing",3,0,0,,
2020-12-29,"12-17yrs",15,0,951519,0,0
2020-12-29,"18-29yrs",1566,0,2455535,0.001,0
2020-12-29,"30-39yrs",2241,0,2056059,0.001,0
2020-12-29,"40-49yrs",2996,0,1876583,0.002,0
2020-12-29,"50-59yrs",3650,0,2060934,0.002,0
2020-12-29,"60-69yrs",2195,0,1795046,0.001,0
2020-12-29,"70-79yrs",380,0,1159902,0,0
2020-12-29,"80+",328,0,679266,0,0
2020-12-29,"Adults_18plus",13356,0,12083325,0.001,0
2020-12-29,"Undisclosed_or_missing",4,0,0,,
2020-12-30,"12-17yrs",22,0,951519,0,0
2020-12-30,"18-29yrs",2100,0,2455535,0.001,0
2020-12-30,"30-39yrs",3038,0,2056059,0.001,0
2020-12-30,"40-49yrs",3988,0,1876583,0.002,0
2020-12-30,"50-59yrs",4799,0,2060934,0.002,0
2020-12-30,"60-69yrs",3021,0,1795046,0.002,0
2020-12-30,"70-79yrs",571,0,1159902,0,0
2020-12-30,"80+",402,0,679266,0.001,0
2020-12-30,"Adults_18plus",17919,0,12083325,0.001,0
2020-12-30,"Undisclosed_or_missing",5,0,0,,
2020-12-31,"12-17yrs",29,0,951519,0,0
2020-12-31,"18-29yrs",2863,0,2455535,0.001,0
2020-12-31,"30-39yrs",4042,0,2056059,0.002,0
2020-12-31,"40-49yrs",5154,0,1876583,0.003,0
2020-12-31,"50-59yrs",6166,0,2060934,0.003,0
2020-12-31,"60-69yrs",3923,0,1795046,0.002,0
2020-12-31,"70-79yrs",740,0,1159902,0.001,0
2020-12-31,"80+",468,0,679266,0.001,0
2020-12-31,"Adults_18plus",23356,0,12083325,0.002,0
2020-12-31,"Undisclosed_or_missing",6,0,0,,
2021-01-01,"12-17yrs",41,0,951519,0,0
2021-01-01,"18-29yrs",3662,0,2455535,0.001,0
2021-01-01,"30-39yrs",5090,0,2056059,0.002,0
2021-01-01,"40-49yrs",6318,0,1876583,0.003,0
2021-01-01,"50-59yrs",7502,0,2060934,0.004,0
2021-01-01,"60-69yrs",4841,0,1795046,0.003,0
2021-01-01,"70-79yrs",1006,0,1159902,0.001,0
2021-01-01,"80+",997,0,679266,0.001,0
2021-01-01,"Adults_18plus",29416,0,12083325,0.002,0
2021-01-01,"Undisclosed_or_missing",8,0,0,,
2021-01-02,"12-17yrs",47,0,951519,0,0
2021-01-02,"18-29yrs",4331,0,2455535,0.002,0
2021-01-02,"30-39yrs",6106,0,2056059,0.003,0
2021-01-02,"40-49yrs",7253,0,1876583,0.004,0
2021-01-02,"50-59yrs",8457,0,2060934,0.004,0
2021-01-02,"60-69yrs",5437,0,1795046,0.003,0
2021-01-02,"70-79yrs",1177,0,1159902,0.001,0
2021-01-02,"80+",1186,0,679266,0.002,0
2021-01-02,"Adults_18plus",33947,0,12083325,0.003,0
2021-01-02,"Undisclosed_or_missing",8,0,0,,
2021-01-03,"12-17yrs",53,0,951519,0,0
2021-01-03,"18-29yrs",5051,0,2455535,0.002,0
2021-01-03,"30-39yrs",7026,0,2056059,0.003,0
2021-01-03,"40-49yrs",8193,0,1876583,0.004,0
2021-01-03,"50-59yrs",9526,0,2060934,0.005,0
2021-01-03,"60-69yrs",6064,0,1795046,0.003,0
2021-01-03,"70-79yrs",1434,0,1159902,0.001,0
2021-01-03,"80+",1879,0,679266,0.003,0
2021-01-03,"Adults_18plus",39173,0,12083325,0.003,0
2021-01-03,"Undisclosed_or_missing",9,0,0,,
2021-01-04,"12-17yrs",62,0,951519,0,0
2021-01-04,"18-29yrs",5998,0,2455535,0.002,0
2021-01-04,"30-39yrs",8153,0,2056059,0.004,0
2021-01-04,"40-49yrs",9337,0,1876583,0.005,0
2021-01-04,"50-59yrs",10730,0,2060934,0.005,0
2021-01-04,"60-69yrs",6812,0,1795046,0.004,0
2021-01-04,"70-79yrs",1686,0,1159902,0.001,0
2021-01-04,"80+",2295,0,679266,0.003,0
2021-01-04,"Adults_18plus",45011,0,12083325,0.004,0
2021-01-04,"Undisclosed_or_missing",10,0,0,,
2021-01-05,"12-17yrs",78,0,951519,0,0
2021-01-05,"18-29yrs",7258,0,2455535,0.003,0
2021-01-05,"30-39yrs",9948,0,2056059,0.005,0
2021-01-05,"40-49yrs",11251,0,1876583,0.006,0
2021-01-05,"50-59yrs",12841,0,2060934,0.006,0
2021-01-05,"60-69yrs",8073,0,1795046,0.004,0
2021-01-05,"70-79yrs",2039,0,1159902,0.002,0
2021-01-05,"80+",2943,0,679266,0.004,0
2021-01-05,"Adults_18plus",54353,0,12083325,0.004,0
2021-01-05,"Undisclosed_or_missing",10,0,0,,
2021-01-06,"12-17yrs",87,0,951519,0,0
2021-01-06,"18-29yrs",8717,45,2455535,0.004,0
2021-01-06,"30-39yrs",12042,66,2056059,0.006,0
2021-01-06,"40-49yrs",13575,97,1876583,0.007,0
2021-01-06,"50-59yrs",15289,139,2060934,0.007,0
2021-01-06,"60-69yrs",9567,65,1795046,0.005,0
2021-01-06,"70-79yrs",2661,15,1159902,0.002,0
2021-01-06,"80+",4345,1,679266,0.006,0
2021-01-06,"Adults_18plus",66196,428,12083325,0.005,0
2021-01-06,"Undisclosed_or_missing",18,0,0,,
2021-01-07,"12-17yrs",94,0,951519,0,0
2021-01-07,"18-29yrs",10514,121,2455535,0.004,0
2021-01-07,"30-39yrs",14494,179,2056059,0.007,0
2021-01-07,"40-49yrs",15965,267,1876583,0.009,0
2021-01-07,"50-59yrs",18064,328,2060934,0.009,0
2021-01-07,"60-69yrs",11338,163,1795046,0.006,0
2021-01-07,"70-79yrs",3526,26,1159902,0.003,0
2021-01-07,"80+",7297,1,679266,0.011,0
2021-01-07,"Adults_18plus",81198,1085,12083325,0.007,0
2021-01-07,"Undisclosed_or_missing",35,0,0,,
2021-01-08,"12-17yrs",113,0,951519,0,0
2021-01-08,"18-29yrs",12662,231,2455535,0.005,0
2021-01-08,"30-39yrs",17351,348,2056059,0.008,0
2021-01-08,"40-49yrs",18852,490,1876583,0.01,0
2021-01-08,"50-59yrs",21312,593,2060934,0.01,0
2021-01-08,"60-69yrs",13428,303,1795046,0.007,0
2021-01-08,"70-79yrs",4421,49,1159902,0.004,0
2021-01-08,"80+",9546,2,679266,0.014,0
2021-01-08,"Adults_18plus",97572,2016,12083325,0.008,0
2021-01-08,"Undisclosed_or_missing",38,0,0,,
2021-01-09,"12-17yrs",121,0,951519,0,0
2021-01-09,"18-29yrs",14723,321,2455535,0.006,0
2021-01-09,"30-39yrs",20182,485,2056059,0.01,0
2021-01-09,"40-49yrs",21853,722,1876583,0.012,0
2021-01-09,"50-59yrs",24846,873,2060934,0.012,0
2021-01-09,"60-69yrs",15768,465,1795046,0.009,0
2021-01-09,"70-79yrs",5364,69,1159902,0.005,0
2021-01-09,"80+",12762,3,679266,0.019,0
2021-01-09,"Adults_18plus",115498,2938,12083325,0.01,0
2021-01-09,"Undisclosed_or_missing",61,0,0,,
2021-01-10,"12-17yrs",130,0,951519,0,0
2021-01-10,"18-29yrs",16119,321,2455535,0.007,0
2021-01-10,"30-39yrs",22164,486,2056059,0.011,0
2021-01-10,"40-49yrs",23772,723,1876583,0.013,0
2021-01-10,"50-59yrs",26968,873,2060934,0.013,0
2021-01-10,"60-69yrs",17354,465,1795046,0.01,0
2021-01-10,"70-79yrs",6026,69,1159902,0.005,0
2021-01-10,"80+",14144,3,679266,0.021,0
2021-01-10,"Adults_18plus",126547,2940,12083325,0.01,0
2021-01-10,"Undisclosed_or_missing",69,0,0,,
2021-01-11,"12-17yrs",139,0,951519,0,0
2021-01-11,"18-29yrs",17535,321,2455535,0.007,0
2021-01-11,"30-39yrs",24067,486,2056059,0.012,0
2021-01-11,"40-49yrs",25736,723,1876583,0.014,0
2021-01-11,"50-59yrs",29016,874,2060934,0.014,0
2021-01-11,"60-69yrs",18846,465,1795046,0.01,0
2021-01-11,"70-79yrs",6775,69,1159902,0.006,0
2021-01-11,"80+",15976,3,679266,0.024,0
2021-01-11,"Adults_18plus",137951,2941,12083325,0.011,0
2021-01-11,"Undisclosed_or_missing",75,0,0,,
2021-01-12,"12-17yrs",143,0,951519,0,0
2021-01-12,"18-29yrs",19015,335,2455535,0.008,0
2021-01-12,"30-39yrs",26124,497,2056059,0.013,0
2021-01-12,"40-49yrs",27699,742,1876583,0.015,0
2021-01-12,"50-59yrs",31356,894,2060934,0.015,0
2021-01-12,"60-69yrs",20502,484,1795046,0.011,0
2021-01-12,"70-79yrs",7695,71,1159902,0.007,0
2021-01-12,"80+",19082,3,679266,0.028,0
2021-01-12,"Adults_18plus",151473,3026,12083325,0.013,0
2021-01-12,"Undisclosed_or_missing",89,0,0,,
2021-01-13,"12-17yrs",150,0,951519,0,0
2021-01-13,"18-29yrs",20280,498,2455535,0.008,0
2021-01-13,"30-39yrs",27837,757,2056059,0.014,0
2021-01-13,"40-49yrs",29294,1060,1876583,0.016,0.001
2021-01-13,"50-59yrs",33290,1236,2060934,0.016,0.001
2021-01-13,"60-69yrs",22014,651,1795046,0.012,0
2021-01-13,"70-79yrs",8660,94,1159902,0.007,0
2021-01-13,"80+",23165,98,679266,0.034,0
2021-01-13,"Adults_18plus",164540,4394,12083325,0.014,0
2021-01-13,"Undisclosed_or_missing",94,1,0,,
2021-01-14,"12-17yrs",160,0,951519,0,0
2021-01-14,"18-29yrs",21741,777,2455535,0.009,0
2021-01-14,"30-39yrs",29756,1178,2056059,0.014,0.001
2021-01-14,"40-49yrs",31221,1549,1876583,0.017,0.001
2021-01-14,"50-59yrs",35626,1796,2060934,0.017,0.001
2021-01-14,"60-69yrs",23903,1006,1795046,0.013,0.001
2021-01-14,"70-79yrs",9930,134,1159902,0.009,0
2021-01-14,"80+",28231,204,679266,0.042,0
2021-01-14,"Adults_18plus",180408,6644,12083325,0.015,0.001
2021-01-14,"Undisclosed_or_missing",101,3,0,,
2021-01-15,"12-17yrs",170,1,951519,0,0
2021-01-15,"18-29yrs",23404,1009,2455535,0.01,0
2021-01-15,"30-39yrs",31916,1517,2056059,0.016,0.001
2021-01-15,"40-49yrs",33446,1993,1876583,0.018,0.001
2021-01-15,"50-59yrs",38367,2277,2060934,0.019,0.001
2021-01-15,"60-69yrs",26153,1286,1795046,0.015,0.001
2021-01-15,"70-79yrs",11299,177,1159902,0.01,0
2021-01-15,"80+",32995,285,679266,0.049,0
2021-01-15,"Adults_18plus",197580,8544,12083325,0.016,0.001
2021-01-15,"Undisclosed_or_missing",114,3,0,,
2021-01-16,"12-17yrs",192,7,951519,0,0
2021-01-16,"18-29yrs",24939,1176,2455535,0.01,0
2021-01-16,"30-39yrs",33724,1682,2056059,0.016,0.001
2021-01-16,"40-49yrs",35406,2200,1876583,0.019,0.001
2021-01-16,"50-59yrs",40710,2619,2060934,0.02,0.001
2021-01-16,"60-69yrs",28068,1476,1795046,0.016,0.001
2021-01-16,"70-79yrs",12505,213,1159902,0.011,0
2021-01-16,"80+",37419,291,679266,0.055,0
2021-01-16,"Adults_18plus",212771,9657,12083325,0.018,0.001
2021-01-16,"Undisclosed_or_missing",133,3,0,,
2021-01-17,"12-17yrs",205,13,951519,0,0
2021-01-17,"18-29yrs",25770,1324,2455535,0.01,0.001
2021-01-17,"30-39yrs",34680,1850,2056059,0.017,0.001
2021-01-17,"40-49yrs",36498,2409,1876583,0.019,0.001
2021-01-17,"50-59yrs",42140,2925,2060934,0.02,0.001
2021-01-17,"60-69yrs",29329,1719,1795046,0.016,0.001
2021-01-17,"70-79yrs",13326,301,1159902,0.011,0
2021-01-17,"80+",40644,310,679266,0.06,0
2021-01-17,"Adults_18plus",222387,10838,12083325,0.018,0.001
2021-01-17,"Undisclosed_or_missing",141,3,0,,
2021-01-18,"12-17yrs",212,13,951519,0,0
2021-01-18,"18-29yrs",26429,1326,2455535,0.011,0.001
2021-01-18,"30-39yrs",35420,1852,2056059,0.017,0.001
2021-01-18,"40-49yrs",37279,2410,1876583,0.02,0.001
2021-01-18,"50-59yrs",43229,2933,2060934,0.021,0.001
2021-01-18,"60-69yrs",30176,1721,1795046,0.017,0.001
2021-01-18,"70-79yrs",13858,301,1159902,0.012,0
2021-01-18,"80+",42521,310,679266,0.063,0
2021-01-18,"Adults_18plus",228912,10853,12083325,0.019,0.001
2021-01-18,"Undisclosed_or_missing",147,3,0,,
2021-01-19,"12-17yrs",217,15,951519,0,0
2021-01-19,"18-29yrs",26957,1503,2455535,0.011,0.001
2021-01-19,"30-39yrs",36188,2142,2056059,0.018,0.001
2021-01-19,"40-49yrs",38187,2864,1876583,0.02,0.002
2021-01-19,"50-59yrs",44383,3486,2060934,0.022,0.002
2021-01-19,"60-69yrs",31329,2108,1795046,0.017,0.001
2021-01-19,"70-79yrs",14851,353,1159902,0.013,0
2021-01-19,"80+",46357,320,679266,0.068,0
2021-01-19,"Adults_18plus",238252,12776,12083325,0.02,0.001
2021-01-19,"Undisclosed_or_missing",151,3,0,,
2021-01-20,"12-17yrs",226,16,951519,0,0
2021-01-20,"18-29yrs",27372,1881,2455535,0.011,0.001
2021-01-20,"30-39yrs",36691,2783,2056059,0.018,0.001
2021-01-20,"40-49yrs",38759,3623,1876583,0.021,0.002
2021-01-20,"50-59yrs",45183,4364,2060934,0.022,0.002
2021-01-20,"60-69yrs",32135,2692,1795046,0.018,0.001
2021-01-20,"70-79yrs",15592,458,1159902,0.013,0
2021-01-20,"80+",49285,350,679266,0.073,0.001
2021-01-20,"Adults_18plus",245017,16151,12083325,0.02,0.001
2021-01-20,"Undisclosed_or_missing",153,4,0,,
2021-01-21,"12-17yrs",226,19,951519,0,0
2021-01-21,"18-29yrs",27633,2408,2455535,0.011,0.001
2021-01-21,"30-39yrs",37033,3521,2056059,0.018,0.002
2021-01-21,"40-49yrs",39183,4518,1876583,0.021,0.002
2021-01-21,"50-59yrs",45802,5375,2060934,0.022,0.003
2021-01-21,"60-69yrs",32838,3305,1795046,0.018,0.002
2021-01-21,"70-79yrs",16289,565,1159902,0.014,0
2021-01-21,"80+",52382,380,679266,0.077,0.001
2021-01-21,"Adults_18plus",251160,20072,12083325,0.021,0.002
2021-01-21,"Undisclosed_or_missing",158,4,0,,
2021-01-22,"12-17yrs",228,33,951519,0,0
2021-01-22,"18-29yrs",27715,2973,2455535,0.011,0.001
2021-01-22,"30-39yrs",37126,4372,2056059,0.018,0.002
2021-01-22,"40-49yrs",39311,5488,1876583,0.021,0.003
2021-01-22,"50-59yrs",46010,6470,2060934,0.022,0.003
2021-01-22,"60-69yrs",33146,4085,1795046,0.018,0.002
2021-01-22,"70-79yrs",16785,749,1159902,0.014,0.001
2021-01-22,"80+",54630,458,679266,0.08,0.001
2021-01-22,"Adults_18plus",254723,24595,12083325,0.021,0.002
2021-01-22,"Undisclosed_or_missing",161,5,0,,
2021-01-23,"12-17yrs",228,42,951519,0,0
2021-01-23,"18-29yrs",27796,3605,2455535,0.011,0.001
2021-01-23,"30-39yrs",37188,5301,2056059,0.018,0.003
2021-01-23,"40-49yrs",39402,6400,1876583,0.021,0.003
2021-01-23,"50-59yrs",46175,7412,2060934,0.022,0.004
2021-01-23,"60-69yrs",33356,4766,1795046,0.019,0.003
2021-01-23,"70-79yrs",17133,906,1159902,0.015,0.001
2021-01-23,"80+",55983,503,679266,0.082,0.001
2021-01-23,"Adults_18plus",257033,28893,12083325,0.021,0.002
2021-01-23,"Undisclosed_or_missing",162,5,0,,
2021-01-24,"12-17yrs",230,44,951519,0,0
2021-01-24,"18-29yrs",27826,3981,2455535,0.011,0.002
2021-01-24,"30-39yrs",37215,5791,2056059,0.018,0.003
2021-01-24,"40-49yrs",39442,6964,1876583,0.021,0.004
2021-01-24,"50-59yrs",46237,8045,2060934,0.022,0.004
2021-01-24,"60-69yrs",33463,5106,1795046,0.019,0.003
2021-01-24,"70-79yrs",17327,972,1159902,0.015,0.001
2021-01-24,"80+",57008,519,679266,0.084,0.001
2021-01-24,"Adults_18plus",258518,31378,12083325,0.021,0.003
2021-01-24,"Undisclosed_or_missing",162,5,0,,
2021-01-25,"12-17yrs",231,50,951519,0,0
2021-01-25,"18-29yrs",27849,4675,2455535,0.011,0.002
2021-01-25,"30-39yrs",37242,6625,2056059,0.018,0.003
2021-01-25,"40-49yrs",39485,7916,1876583,0.021,0.004
2021-01-25,"50-59yrs",46285,9081,2060934,0.022,0.004
2021-01-25,"60-69yrs",33517,5644,1795046,0.019,0.003
2021-01-25,"70-79yrs",17423,1079,1159902,0.015,0.001
2021-01-25,"80+",57561,544,679266,0.085,0.001
2021-01-25,"Adults_18plus",259362,35564,12083325,0.021,0.003
2021-01-25,"Undisclosed_or_missing",162,5,0,,
2021-01-26,"12-17yrs",234,52,951519,0,0
2021-01-26,"18-29yrs",27910,5600,2455535,0.011,0.002
2021-01-26,"30-39yrs",37311,7987,2056059,0.018,0.004
2021-01-26,"40-49yrs",39561,9376,1876583,0.021,0.005
2021-01-26,"50-59yrs",46382,10589,2060934,0.023,0.005
2021-01-26,"60-69yrs",33659,6509,1795046,0.019,0.004
2021-01-26,"70-79yrs",17693,1239,1159902,0.015,0.001
2021-01-26,"80+",59123,593,679266,0.087,0.001
2021-01-26,"Adults_18plus",261639,41893,12083325,0.022,0.003
2021-01-26,"Undisclosed_or_missing",162,5,0,,
2021-01-27,"12-17yrs",235,57,951519,0,0
2021-01-27,"18-29yrs",27933,6543,2455535,0.011,0.003
2021-01-27,"30-39yrs",37360,9459,2056059,0.018,0.005
2021-01-27,"40-49yrs",39631,10870,1876583,0.021,0.006
2021-01-27,"50-59yrs",46495,12196,2060934,0.023,0.006
2021-01-27,"60-69yrs",33861,7475,1795046,0.019,0.004
2021-01-27,"70-79yrs",18056,1479,1159902,0.016,0.001
2021-01-27,"80+",60593,653,679266,0.089,0.001
2021-01-27,"Adults_18plus",263929,48675,12083325,0.022,0.004
2021-01-27,"Undisclosed_or_missing",163,6,0,,
2021-01-28,"12-17yrs",235,59,951519,0,0
2021-01-28,"18-29yrs",27978,7665,2455535,0.011,0.003
2021-01-28,"30-39yrs",37428,11050,2056059,0.018,0.005
2021-01-28,"40-49yrs",39735,12234,1876583,0.021,0.007
2021-01-28,"50-59yrs",46724,13794,2060934,0.023,0.007
2021-01-28,"60-69yrs",34250,8454,1795046,0.019,0.005
2021-01-28,"70-79yrs",18773,1739,1159902,0.016,0.001
2021-01-28,"80+",64022,804,679266,0.094,0.001
2021-01-28,"Adults_18plus",268910,55740,12083325,0.022,0.005
2021-01-28,"Undisclosed_or_missing",164,6,0,,
2021-01-29,"12-17yrs",235,63,951519,0,0
2021-01-29,"18-29yrs",28008,8480,2455535,0.011,0.003
2021-01-29,"30-39yrs",37481,12243,2056059,0.018,0.006
2021-01-29,"40-49yrs",39803,13470,1876583,0.021,0.007
2021-01-29,"50-59yrs",46852,15237,2060934,0.023,0.007
2021-01-29,"60-69yrs",34461,9389,1795046,0.019,0.005
2021-01-29,"70-79yrs",19155,2122,1159902,0.017,0.002
2021-01-29,"80+",65761,1827,679266,0.097,0.003
2021-01-29,"Adults_18plus",271521,62768,12083325,0.022,0.005
2021-01-29,"Undisclosed_or_missing",178,10,0,,
2021-01-30,"12-17yrs",235,65,951519,0,0
2021-01-30,"18-29yrs",28039,9302,2455535,0.011,0.004
2021-01-30,"30-39yrs",37526,13480,2056059,0.018,0.007
2021-01-30,"40-49yrs",39858,14717,1876583,0.021,0.008
2021-01-30,"50-59yrs",46960,16670,2060934,0.023,0.008
2021-01-30,"60-69yrs",34632,10276,1795046,0.019,0.006
2021-01-30,"70-79yrs",19455,2368,1159902,0.017,0.002
2021-01-30,"80+",67025,2179,679266,0.099,0.003
2021-01-30,"Adults_18plus",273495,68992,12083325,0.023,0.006
2021-01-30,"Undisclosed_or_missing",179,10,0,,
2021-01-31,"12-17yrs",235,66,951519,0,0
2021-01-31,"18-29yrs",28053,9398,2455535,0.011,0.004
2021-01-31,"30-39yrs",37546,13590,2056059,0.018,0.007
2021-01-31,"40-49yrs",39879,14847,1876583,0.021,0.008
2021-01-31,"50-59yrs",46993,16808,2060934,0.023,0.008
2021-01-31,"60-69yrs",34685,10414,1795046,0.019,0.006
2021-01-31,"70-79yrs",19593,2555,1159902,0.017,0.002
2021-01-31,"80+",67909,2986,679266,0.1,0.004
2021-01-31,"Adults_18plus",274658,70598,12083325,0.023,0.006
2021-01-31,"Undisclosed_or_missing",179,11,0,,
2021-02-01,"12-17yrs",236,66,951519,0,0
2021-02-01,"18-29yrs",28056,9435,2455535,0.011,0.004
